,Customer ID,Is Blocked,Created At,Outstanding Amount,Loyalty Points,Number of Employees,Returning customer
0,3144837,0,1615828399000000000,0,0,5.0,0
1,3174590,0,1616249711000000000,0,0,5.0,0
2,3181998,0,1616341011000000000,0,0,5.0,0
3,3191244,0,1616489640000000000,0,367,5.0,1
4,3274222,0,1617717159000000000,0,0,5.0,0
5,3289843,0,1617961872000000000,0,21,5.0,1
6,3307723,0,1618210583000000000,0,0,5.0,0
7,3320505,0,1618383222000000000,0,0,5.0,0
8,3320510,0,1618383267000000000,0,0,5.0,0
9,3321209,0,1618390876000000000,0,7,5.0,1
10,3321648,0,1618395944000000000,0,0,5.0,0
11,3321884,0,1618398458000000000,0,0,5.0,0
12,3322509,0,1618404994000000000,0,0,5.0,0
13,3322639,0,1618405901000000000,0,0,5.0,0
14,3326583,0,1618467796000000000,0,0,5.0,0
15,3326754,0,1618470247000000000,0,1,5.0,1
16,3326869,0,1618472060000000000,0,46,5.0,1
17,3327353,0,1618479501000000000,0,2,5.0,1
18,3328088,0,1618489210000000000,0,1,5.0,1
19,3328990,0,1618499271000000000,0,36,5.0,1
20,3333265,0,1618568972000000000,0,0,5.0,0
21,3340174,0,1618656960000000000,0,2,5.0,1
22,3351682,0,1618812084000000000,0,108,5.0,1
23,3357199,0,1618905030000000000,0,0,5.0,0
24,3357267,0,1618906215000000000,0,0,5.0,0
25,3357390,0,1618907826000000000,0,5,5.0,1
26,3358243,0,1618920102000000000,0,2,5.0,1
27,3358561,0,1618923487000000000,0,21,5.0,1
28,3364801,0,1618985704000000000,0,1,5.0,1
29,3364803,0,1618985788000000000,0,48,5.0,1
30,3364819,0,1618986174000000000,0,23,5.0,1
31,3364893,0,1618987438000000000,0,0,5.0,0
32,3365019,0,1618989356000000000,0,68,5.0,1
33,3365770,0,1619000630000000000,0,55,5.0,1
34,3368309,0,1619029564000000000,0,2144,50.0,1
35,3370587,0,1619072001000000000,0,1,50.0,1
36,3372326,0,1619096215000000000,0,252,3.0,1
37,3376818,0,1619153540000000000,0,9,3.0,1
38,3377901,0,1619167706000000000,0,31,3.0,1
39,3377953,0,1619168255000000000,0,422,3.0,1
40,3378226,0,1619171335000000000,0,0,3.0,0
41,3378262,0,1619171737000000000,0,326,3.0,1
42,3378287,0,1619171898000000000,0,38,3.0,1
43,3378785,0,1619177402000000000,0,4,3.0,1
44,3380251,0,1619190306000000000,0,65,3.0,1
45,3384963,0,1619249489000000000,0,34,3.0,1
46,3385533,0,1619256064000000000,0,113,3.0,1
47,3385752,0,1619258325000000000,0,25,3.0,1
48,3405414,0,1619515934000000000,0,0,3.0,0
49,3406646,0,1619530946000000000,0,12,3.0,1
50,3407056,0,1619535423000000000,0,0,3.0,0
51,3408772,0,1619558168000000000,0,0,3.0,0
52,3411458,0,1619597354000000000,0,0,3.0,0
53,3411550,0,1619598487000000000,0,0,3.0,0
54,3411830,0,1619602233000000000,0,16,3.0,1
55,3412049,0,1619605125000000000,0,3,3.0,1
56,3412146,0,1619606224000000000,0,0,3.0,0
57,3412508,0,1619610982000000000,0,1,3.0,1
58,3412536,0,1619611237000000000,0,0,3.0,0
59,3412876,0,1619614446000000000,0,1,3.0,1
60,3412963,0,1619615179000000000,0,2,3.0,1
61,3413046,0,1619615966000000000,0,17,3.0,1
62,3413445,0,1619619719000000000,0,0,3.0,0
63,3414703,0,1619632619000000000,0,0,3.0,0
64,3417088,0,1619677647000000000,0,84,3.0,1
65,3417198,0,1619679189000000000,0,1,3.0,1
66,3417637,0,1619685239000000000,0,0,3.0,0
67,3418374,0,1619694991000000000,0,9,3.0,1
68,3418548,0,1619697112000000000,0,7,3.0,1
69,3418834,0,1619700288000000000,0,1,3.0,1
70,3423390,0,1619758330000000000,0,5,3.0,1
71,3423728,0,1619764634000000000,0,0,3.0,0
72,3424135,0,1619770274000000000,0,0,3.0,0
73,3424246,0,1619771872000000000,0,22,3.0,1
74,3424669,0,1619777150000000000,0,1,3.0,1
75,3425123,0,1619782423000000000,0,0,3.0,0
76,3425218,0,1619783533000000000,0,7,3.0,1
77,3425261,0,1619783995000000000,0,0,3.0,0
78,3426348,0,1619794013000000000,0,0,3.0,0
79,3440041,0,1619968433000000000,0,1,3.0,1
80,3444058,0,1620027540000000000,0,5,3.0,1
81,3444996,0,1620038931000000000,0,2,3.0,1
82,3452400,0,1620134744000000000,0,3,3.0,1
83,3452788,0,1620137861000000000,0,18,3.0,1
84,3453128,0,1620141283000000000,0,25,3.0,1
85,3456744,0,1620204978000000000,0,7,3.0,1
86,3457559,0,1620214117000000000,0,28,4.0,1
87,3457697,0,1620215550000000000,0,0,4.0,0
88,3458370,0,1620222304000000000,0,0,4.0,0
89,3458446,0,1620223054000000000,0,0,4.0,0
90,3458785,0,1620226095000000000,0,6,4.0,1
91,3458946,0,1620228054000000000,0,3,4.0,1
92,3460340,0,1620248570000000000,0,0,4.0,0
93,3461836,0,1620281683000000000,0,7,4.0,1
94,3465905,0,1620301943000000000,0,4,4.0,1
95,3466188,0,1620305105000000000,0,2,4.0,1
96,3466208,0,1620305307000000000,0,63,4.0,1
97,3466478,0,1620308023000000000,0,2,4.0,1
98,3467452,0,1620318170000000000,0,157,4.0,1
99,3471476,0,1620380365000000000,0,6,4.0,1
100,3471716,0,1620382751000000000,0,1,4.0,1
101,3471956,0,1620385231000000000,0,1,4.0,1
102,3472076,0,1620386477000000000,0,1,4.0,1
103,3472118,0,1620386887000000000,0,107,4.0,1
104,3472461,0,1620388845000000000,0,1,4.0,1
105,3474079,0,1620397302000000000,0,2,4.0,1
106,3474370,0,1620399049000000000,0,0,4.0,0
107,3474459,0,1620399712000000000,0,44,4.0,1
108,3480548,0,1620470014000000000,0,11,4.0,1
109,3501444,0,1620717300000000000,0,0,4.0,0
110,3501651,0,1620719282000000000,0,0,4.0,0
111,3501851,0,1620721373000000000,0,13,4.0,1
112,3502006,0,1620723006000000000,0,0,4.0,0
113,3502031,0,1620723362000000000,0,6,5.0,1
114,3503702,0,1620739364000000000,0,42,5.0,1
115,3508318,0,1620805929000000000,0,2,5.0,1
116,3510523,0,1620818002000000000,0,1,5.0,1
117,3510541,0,1620818236000000000,0,6,5.0,1
118,3516637,0,1620893531000000000,0,3,5.0,1
119,3516842,0,1620895669000000000,0,4,5.0,1
120,3517055,0,1620898276000000000,0,121,5.0,1
121,3517080,0,1620898588000000000,0,110,5.0,1
122,3517142,0,1620899165000000000,0,167,5.0,1
123,3517535,0,1620903860000000000,0,0,5.0,0
124,3517836,0,1620906631000000000,0,0,5.0,0
125,3517939,0,1620907450000000000,0,96,5.0,1
126,3518157,0,1620909607000000000,0,0,5.0,0
127,3519514,0,1620923147000000000,0,21,5.0,1
128,3520006,0,1620928720000000000,0,0,5.0,0
129,3521522,0,1620965752000000000,0,0,5.0,0
130,3523192,0,1620987888000000000,0,0,5.0,0
131,3529250,0,1621071125000000000,0,6,5.0,1
132,3538264,0,1621180658000000000,0,8,5.0,1
133,3539211,0,1621191554000000000,0,1,5.0,1
134,3541357,0,1621234404000000000,0,1,5.0,1
135,3541477,0,1621235905000000000,0,1,5.0,1
136,3542565,0,1621249551000000000,0,0,5.0,0
137,3542586,0,1621249694000000000,0,0,5.0,0
138,3544163,0,1621265197000000000,0,0,5.0,0
139,3547388,0,1621327975000000000,0,1,5.0,1
140,3547736,0,1621332574000000000,0,3,5.0,1
141,3549348,0,1621348882000000000,0,0,5.0,0
142,3549935,0,1621355553000000000,0,36,5.0,1
143,3553019,0,1621410606000000000,0,1,712411748.0,1
144,3553109,0,1621411635000000000,0,0,790448974.0,0
145,3553157,0,1621412200000000000,0,158,2.0,1
146,3553938,0,1621420777000000000,0,0,713131337.0,0
147,3554524,0,1621425933000000000,0,58,3.0,1
148,3555153,0,1621430739000000000,0,41,7.0,1
149,3555286,0,1621431834000000000,0,67,1.0,1
150,3555490,0,1621434106000000000,0,81,791404153.0,1
151,3555966,0,1621439879000000000,0,0,1.0,0
152,3558643,0,1621493430000000000,0,0,1.0,0
153,3559930,0,1621507061000000000,0,0,3.0,0
154,3624223,0,1621521538000000000,0,5,2.0,1
155,3624381,0,1621523372000000000,0,7,2.0,1
156,3625203,0,1621533016000000000,0,0,2.0,0
157,3627912,0,1621585182000000000,0,0,2.0,0
158,3628184,0,1621588244000000000,0,5,3.0,1
159,3628541,0,1621592176000000000,0,94,1.0,1
160,3628690,0,1621593611000000000,0,0,1.0,0
161,3629175,0,1621598182000000000,0,0,1.0,0
162,3629911,0,1621604917000000000,0,41,5.0,1
163,3629940,0,1621605201000000000,0,0,5.0,0
164,3632518,0,1621643090000000000,0,0,5.0,0
165,3633400,0,1621662681000000000,0,0,5.0,0
166,3633545,0,1621664533000000000,0,0,4.0,0
167,3635632,0,1621682860000000000,0,0,3.0,0
168,3636098,0,1621686521000000000,0,115,5.0,1
169,3636918,0,1621693352000000000,0,53,2.0,1
170,3637191,0,1621696368000000000,0,0,2.0,0
171,3647723,0,1621848573000000000,0,1350,4.0,1
172,3648386,0,1621855929000000000,0,415,6.0,1
173,3648474,0,1621856768000000000,0,294,2.0,1
174,3648607,0,1621857813000000000,0,624,7.0,1
175,3648704,0,1621858894000000000,0,4,7.0,1
176,3652277,0,1621917606000000000,0,2,5.0,1
177,3653071,0,1621929128000000000,0,3,3.0,1
178,3653191,0,1621930473000000000,0,0,6.0,0
179,3653258,0,1621931192000000000,0,4,3.0,1
180,3653261,0,1621931215000000000,0,0,4.0,0
181,3653550,0,1621934864000000000,0,21,2.0,1
182,3653751,0,1621937330000000000,0,0,2.0,0
183,3653799,0,1621937898000000000,0,0,2.0,0
184,3653828,0,1621938312000000000,0,0,2.0,0
185,3653840,0,1621938439000000000,0,109,4.0,1
186,3653847,0,1621938558000000000,0,0,2.0,0
187,3653913,0,1621939226000000000,0,1,2.0,1
188,3654978,0,1621950344000000000,0,30,3.0,1
189,3655098,0,1621951534000000000,0,21,2.0,1
190,3655491,0,1621957003000000000,0,9,3.0,1
191,3655577,0,1621958335000000000,0,3,3.0,1
192,3658173,0,1622013285000000000,0,24,2.0,1
193,3658437,0,1622016274000000000,0,0,2.0,0
194,3658510,0,1622017364000000000,0,1,3.0,1
195,3658738,0,1622019931000000000,0,0,4.0,0
196,3658787,0,1622020537000000000,0,0,4.0,0
197,3658887,0,1622021706000000000,0,0,4.0,0
198,3659062,0,1622023103000000000,0,0,3.0,0
199,3659617,0,1622026744000000000,0,0,2.0,0
200,3659716,0,1622027712000000000,0,1,2.0,1
201,3660106,0,1622031390000000000,0,1,5.0,1
202,3660771,0,1622037331000000000,0,14,2.0,1
203,3661486,0,1622045088000000000,0,0,2.0,0
204,3661720,0,1622048066000000000,0,32,3.0,1
205,3661742,0,1622048417000000000,0,0,3.0,0
206,3661786,0,1622049033000000000,0,3,2.0,1
207,3662310,0,1622056049000000000,0,5,3.0,1
208,3663588,0,1622089935000000000,0,7,2.0,1
209,3663635,0,1622090814000000000,0,37,2.0,1
210,3663912,0,1622095596000000000,0,45,3.0,1
211,3664126,0,1622098507000000000,0,0,3.0,0
212,3664740,0,1622106103000000000,0,91,2.0,1
213,3664866,0,1622107838000000000,0,41,3.0,1
214,3665307,0,1622112824000000000,0,45,2.0,1
215,3665638,0,1622116334000000000,0,0,1.0,0
216,3665909,0,1622118871000000000,0,0,3.0,0
217,3665954,0,1622119137000000000,0,0,3.0,0
218,3666347,0,1622122128000000000,0,73,2.0,1
219,3666756,0,1622125913000000000,0,0,727804167.0,0
220,3669648,0,1622178410000000000,0,70,2.0,1
221,3669902,0,1622182900000000000,0,0,8.0,0
222,3670451,0,1622189036000000000,0,0,2.0,0
223,3670949,0,1622194558000000000,0,9,3.0,1
224,3671463,0,1622200085000000000,0,1,1.0,1
225,3671668,0,1622202182000000000,0,51,2.0,1
226,3671732,0,1622202763000000000,0,80,3.0,1
227,3671845,0,1622204016000000000,0,15,4.0,1
228,3671951,0,1622205097000000000,0,0,4.0,0
229,3671974,0,1622205333000000000,0,3,6.0,1
230,3672968,0,1622214223000000000,0,0,1.0,0
231,3673520,0,1622219773000000000,0,51,4.0,1
232,3673618,0,1622220641000000000,0,27,2.0,1
233,3673796,0,1622222457000000000,0,23,2.0,1
234,3673973,0,1622224290000000000,0,3,2.0,1
235,3676428,0,1622267528000000000,0,52,2.0,1
236,3676804,0,1622272160000000000,0,2,3.0,1
237,3677386,0,1622277701000000000,0,7,2.0,1
238,3679215,0,1622295355000000000,0,0,2.0,0
239,3683659,0,1622363879000000000,0,12,2.0,1
240,3688337,0,1622434293000000000,0,6,2.0,1
241,3689146,0,1622447985000000000,0,0,2.0,0
242,3690101,0,1622459322000000000,0,91,7.0,1
243,3690377,0,1622462742000000000,0,61,3.0,1
244,3691705,0,1622476925000000000,0,60,2.0,1
245,3691769,0,1622477872000000000,0,117,4.0,1
246,3692144,0,1622483060000000000,0,1,2.0,1
247,3692345,0,1622486400000000000,0,3,4.0,1
248,3694032,0,1622527176000000000,0,0,4.0,0
249,3694091,0,1622527932000000000,0,90,3.0,1
250,3699919,0,1622607755000000000,0,48,3.0,1
251,3700182,0,1622611751000000000,0,615,4.0,1
252,3700449,0,1622615522000000000,0,1,2.0,1
253,3700575,0,1622617118000000000,0,23,7.0,1
254,3700631,0,1622617833000000000,0,10,3.0,1
255,3700956,0,1622620875000000000,0,0,2.0,0
256,3700969,0,1622621001000000000,0,28,2.0,1
257,3701035,0,1622621593000000000,0,0,1.0,0
258,3701093,0,1622622080000000000,0,0,3.0,0
259,3701183,0,1622623178000000000,0,22,2.0,1
260,3702792,0,1622639418000000000,0,0,3.0,0
261,3703039,0,1622641296000000000,0,66,4.0,1
262,3706554,0,1622697419000000000,0,4,3.0,1
263,3706575,0,1622697799000000000,0,13,2.0,1
264,3706638,0,1622699111000000000,0,28,5.0,1
265,3706706,0,1622700288000000000,0,40,3.0,1
266,3706809,0,1622701741000000000,0,3,3.0,1
267,3707045,0,1622704479000000000,0,2,2.0,1
268,3707297,0,1622706856000000000,0,36,705874192.0,1
269,3707301,0,1622706890000000000,0,1,3.0,1
270,3707405,0,1622708136000000000,0,0,3.0,0
271,3707591,0,1622710122000000000,0,125,3.0,1
272,3707646,0,1622710968000000000,0,7,2.0,1
273,3707682,0,1622711357000000000,0,1,4.0,1
274,3707710,0,1622711718000000000,0,0,2.0,0
275,3707892,0,1622713825000000000,0,87,5.0,1
276,3708542,0,1622720649000000000,0,0,3.0,0
277,3708566,0,1622720834000000000,0,41,7.0,1
278,3708753,0,1622722780000000000,0,0,4.0,0
279,3708808,0,1622723430000000000,0,0,4.0,0
280,3709218,0,1622726734000000000,0,91,4.0,1
281,3709494,0,1622728925000000000,0,48,4.0,1
282,3712809,0,1622787264000000000,0,107,3.0,1
283,3713043,0,1622790393000000000,0,0,8.0,0
284,3713107,0,1622790999000000000,0,15,4.0,1
285,3713116,0,1622791115000000000,0,0,4.0,0
286,3713171,0,1622791696000000000,0,139,6.0,1
287,3713351,0,1622793688000000000,0,6,6.0,1
288,3713445,0,1622794542000000000,0,3,4.0,1
289,3714151,0,1622802376000000000,0,335,4.0,1
290,3714439,0,1622805326000000000,0,94,6.0,1
291,3714893,0,1622809930000000000,0,27,2.0,1
292,3715164,0,1622812232000000000,0,309,3.0,1
293,3715510,0,1622815435000000000,0,67,3.0,1
294,3715544,0,1622815809000000000,0,47,4.0,1
295,3716517,0,1622826619000000000,0,16,2.0,1
296,3718920,0,1622874210000000000,0,0,2.0,0
297,3718959,0,1622874735000000000,0,0,2.0,0
298,3719686,0,1622881755000000000,0,1,2.0,1
299,3719767,0,1622882698000000000,0,35,2.0,1
300,3719889,0,1622884166000000000,0,1,3.0,1
301,3719919,0,1622884422000000000,0,1,6.0,1
302,3720019,0,1622885617000000000,0,1,2.0,1
303,3720258,0,1622888164000000000,0,0,2.0,0
304,3720474,0,1622890638000000000,0,1,2.0,1
305,3722418,0,1622910570000000000,0,0,2.0,0
306,3722722,0,1622914450000000000,0,1,2.0,1
307,3727340,0,1622986140000000000,0,47,2.0,1
308,3730752,0,1623047341000000000,0,3,4.0,1
309,3730896,0,1623049497000000000,0,62,4.0,1
310,3730992,0,1623050510000000000,0,0,4.0,0
311,3731358,0,1623055373000000000,0,0,4.0,0
312,3731365,0,1623055434000000000,0,0,2.0,0
313,3731851,0,1623061608000000000,0,0,2.0,0
314,3731925,0,1623062292000000000,0,747,5.0,1
315,3732073,0,1623064088000000000,0,2,3.0,1
316,3732388,0,1623067672000000000,0,40,2.0,1
317,3732410,0,1623067925000000000,0,84,2.0,1
318,3732484,0,1623068821000000000,0,3,2.0,1
319,3732633,0,1623070533000000000,0,0,2.0,0
320,3732636,0,1623070538000000000,0,22,3.0,1
321,3732740,0,1623071437000000000,0,8,3.0,1
322,3732935,0,1623073481000000000,0,0,2.0,0
323,3733044,0,1623074393000000000,0,0,3.0,0
324,3733437,0,1623079217000000000,0,43,4.0,1
325,3735640,0,1623128340000000000,0,1,3.0,1
326,3735827,0,1623131930000000000,0,8,4.0,1
327,3735941,0,1623133719000000000,0,42,2.0,1
328,3736132,0,1623136209000000000,0,1,2.0,1
329,3736169,0,1623136598000000000,0,1,2.0,1
330,3736227,0,1623137107000000000,0,1,5.0,1
331,3736254,0,1623137323000000000,0,5,2.0,1
332,3736288,0,1623137749000000000,0,0,3.0,0
333,3736369,0,1623138684000000000,0,0,3.0,0
334,3736398,0,1623139029000000000,0,1,3.0,1
335,3736525,0,1623140572000000000,0,1,3.0,1
336,3736578,0,1623141440000000000,0,165,2.0,1
337,3736771,0,1623143694000000000,0,0,3.0,0
338,3737233,1,1623149704000000000,0,3,5.0,1
339,3737323,0,1623150753000000000,0,4,3.0,1
340,3737399,0,1623151583000000000,0,56,2.0,1
341,3737596,0,1623153822000000000,0,23,2.0,1
342,3737831,0,1623156080000000000,0,1,1.0,1
343,3737981,0,1623157318000000000,0,41,3.0,1
344,3738039,0,1623157815000000000,0,0,2.0,0
345,3738133,0,1623158674000000000,0,16,1.0,1
346,3738410,0,1623161081000000000,0,1,2.0,1
347,3738684,0,1623164402000000000,0,54,7.0,1
348,3738939,0,1623167834000000000,0,3,15.0,1
349,3739123,0,1623170553000000000,0,59,2.0,1
350,3739154,0,1623170945000000000,0,3,3.0,1
351,3739319,0,1623173387000000000,0,22,2.0,1
352,3739370,0,1623174099000000000,0,4,3.0,1
353,3739564,0,1623177038000000000,0,38,2.0,1
354,3741649,0,1623223856000000000,0,0,705874192.0,0
355,3741685,0,1623224244000000000,0,71,2.0,1
356,3741735,0,1623224911000000000,0,0,3.0,0
357,3741824,0,1623226037000000000,0,379,3.0,1
358,3741882,0,1623226661000000000,0,89,7.0,1
359,3741931,0,1623227376000000000,0,62,5.0,1
360,3741933,0,1623227402000000000,0,42,3.0,1
361,3741938,0,1623227471000000000,0,4,5.0,1
362,3742044,0,1623228685000000000,0,26,3.0,1
363,3742205,0,1623230901000000000,0,9,2.0,1
364,3742316,0,1623232593000000000,0,23,4.0,1
365,3743226,0,1623243090000000000,0,1,5.0,1
366,3743284,0,1623243707000000000,0,13,3.0,1
367,3743301,0,1623243832000000000,0,2,3.0,1
368,3743360,0,1623244375000000000,0,0,3.0,0
369,3743574,0,1623246511000000000,0,2,4.0,1
370,3743615,0,1623246866000000000,0,0,2.0,0
371,3744006,0,1623251680000000000,0,8,5.0,1
372,3744010,0,1623251725000000000,0,28,4.0,1
373,3744218,0,1623254463000000000,0,0,3.0,0
374,3744225,0,1623254553000000000,0,0,3.0,0
375,3744340,0,1623256192000000000,0,10,3.0,1
376,3746546,0,1623304438000000000,0,1,2.0,1
377,3746632,0,1623305729000000000,0,0,2.0,0
378,3746667,0,1623306218000000000,0,0,2.0,0
379,3746888,0,1623309305000000000,0,193,3.0,1
380,3746909,0,1623309612000000000,0,128,1.0,1
381,3746971,0,1623310524000000000,0,3,2.0,1
382,3746982,0,1623310644000000000,0,0,2.0,0
383,3747048,0,1623311521000000000,0,0,5.0,0
384,3747188,0,1623313052000000000,0,0,3.0,0
